year,municode,inc_m,ind_lang,educ_years,sales_hotel,logtemp,logprecip,dist_us_km
2000,8063,2679.505,.0526316,5.75588,28,4.901044,3.977387,290.8563
2000,8064,1931.158,.0972763,5.330739,79,5.151269,3.75114,333.2595
2000,8065,1789.816,.6295408,4.350843,3519,5.176152,4.347182,431.1361
2000,8066,3522.319,.06743,6.292328,23,5.209073,4.25552,384.9513
2000,8067,2971.553,.0022642,6.597719,250,5.169783,3.540769,265.1195
2000,9002,3975.509,.0170174,10.16032,13874,5.061238,4.123672,723.0373
2000,9003,4787.434,.0330378,10.88252,31303,5.068812,4.161407,739.2578
2000,9004,5896.813,.033918,10.19754,5437,4.803833,4.555207,743.5779
2000,9005,3693.284,.0267022,9.72788,50041,5.041192,3.997429,719.3758
2000,9006,3701.343,.0260111,9.846143,27705,5.070924,3.930424,730.3591
2000,9007,3172.569,.0339491,9.006567,33360,5.05751,3.966135,734.6133
2000,9008,4148.483,.0382034,9.523796,15936,4.784265,4.542869,748.4042
2000,9010,5391.458,.0342855,10.0775,84407,4.924835,4.409865,740.6536
2000,9011,3312.168,.0213693,9.204825,4696,5.051076,4.014751,741.1616
2000,9012,4529.848,.0355429,10.25737,201345,4.801271,4.571519,754.4655
2000,9013,3419.604,.0417654,9.292537,4528,5.019183,4.219911,746.699
2000,9014,6516.323,.0294713,11.86979,129182,5.074416,4.089789,733.7304
2000,9015,5165.002,.0264872,11.18744,1885826,5.069057,3.989436,727.9906
2000,9016,6528.801,.0255167,11.3624,1361986,5.057155,4.151602,729.7402
2000,9017,4079.465,.0243112,10.0158,72308,5.0648,3.907361,726.7212
2000,10001,4034.293,.0219009,8.478386,162,5.026754,3.94006,519.366
2000,10002,3884.769,.0485437,7.438356,21,5.06997,4.663192,526.1182
2000,10003,2908.476,0,6.902439,2,5.115365,3.635947,459.8634
2000,10004,2419.671,.0059208,6.816912,591,5.217663,3.429811,474.5558
2000,10005,3612.851,.0088761,9.352908,67329,4.982902,4.077555,573.7804
2000,10007,2942.82,.0048386,8.512881,16117,5.347663,2.885396,359.3846
2000,10008,2644.673,.0024592,8.384829,914,5.119882,3.667669,509.8373
2000,10009,4785.97,.014742,6.807139,137,4.88911,4.031914,418.0973
2000,10010,2234.975,.0154578,6.804187,1,5.189585,3.525801,352.7612
2000,10011,14792.91,.0178571,6.34937,1,5.199972,3.620398,396.6577
2000,10012,3302.34,.0059835,8.321997,33645,5.316769,3.111896,388.4611
2000,10013,2075.09,.0142566,6.808548,545,5.278497,3.211448,323.6856
2000,10014,2467.041,.0581594,7.268667,30,5.149476,4.133635,664.959
2000,10015,2089.846,.0019795,7.143297,44,5.317536,3.250322,419.2454
2000,10016,2626.415,.0046755,8.340922,14,5.156476,3.691223,577.1539
